long_name,short_name,geolocation,is_goverment,rating,logo,website
Новосибирский государственный педагогический университет,НГПУ,Новосибирская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/nspu.png,https://www.nspu.ru/
Набережночелнинский государственный педагогический университет,НГПУ,Республика Татарстан,Гос.вуз,B-,https://tabiturient.ru/logovuz/tatngpi.png,https://tatngpi.ru/
Нижегородский государственный педагогический университет им. К. Минина,НГПУ им. К. Минина,Нижегородская область,Гос.вуз,A-,https://tabiturient.ru/logovuz/ngpu_minin.png,https://mininuniver.ru/
Новосибирский государственный технический университет,НГТУ НЭТИ,Новосибирская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/nstu.png,https://www.nstu.ru/
Нижегородский государственный технический университет имени Р.Е. Алексеева,НГТУ им. Р.Е. Алексеева,Нижегородская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/nntu.png,https://www.nntu.ru/
Новосибирский Государственный Университет,НГУ,Новосибирская область,Гос.вуз,A,https://tabiturient.ru/logovuz/nsu.png,http://www.nsu.ru/
"Национальный государственный университет физической культуры, спорта и здоровья имени П. Ф. Лесгафта",НГУ им. П. Ф. Лесгафта,Санкт-Петербург и Ленинградская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/lesgaft.png,http://lesgaft.spb.ru/
"Новосибирский государственный университет архитектуры, дизайна и искусств имени А.Д. Крячкова",НГУАДИ,Новосибирская область,Гос.вуз,A,https://tabiturient.ru/logovuz/nsuada.png,http://nsuada.ru/
Новосибирский государственный университет экономики и управления,НГУЭУ,Новосибирская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/nsuem.png,https://nsuem.ru/
Национальный Исследовательский Университет Высшая Школа Экономики,НИУ ВШЭ,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/hse.png,https://www.hse.ru/
Высшая школа экономики в Нижнем Новгороде,НИУ ВШЭ НН,Нижегородская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/hse-nn.png,https://nnov.hse.ru/
Высшая школа экономики в Перми,НИУ ВШЭ Пермь,Пермский край,Гос.вуз,A,https://tabiturient.ru/logovuz/hseperm.png,https://perm.hse.ru/
Высшая школа экономики в Санкт-Петербурге,НИУ ВШЭ СПБ,Санкт-Петербург и Ленинградская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/hse-spb.png,https://spb.hse.ru/
Национальный исследовательский Московский государственный строительный университет,НИУ МГСУ,Москва и Московская область,Гос.вуз,A-,https://tabiturient.ru/logovuz/mgsu.png,http://mgsu.ru/
"Национальный исследовательский университет ""Московский энергетический институт""",НИУ МЭИ,Москва и Московская область,Гос.вуз,A,https://tabiturient.ru/logovuz/mpei.png,http://mpei.ru/
Нижегородский институт управления - филиал РАНХиГС,НИУ РАНХиГС,Нижегородская область,Гос.вуз,A-,https://tabiturient.ru/logovuz/niuranepa.png,https://niu.ranepa.ru/
Национальный исследовательский ядерный университет (Московский инженерно-физический институт),НИЯУ МИФИ,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mifi.png,https://mephi.ru/
Национальный медицинский исследовательский центр имени В. А. Алмазова,НМИЦ им. В. А. Алмазова,Санкт-Петербург и Ленинградская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/almazovcentre.png,http://www.almazovcentre.ru/
Нижегородский государственный архитектурно-строительный университет,ННГАСУ,Нижегородская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/nngasu.png,http://www.nngasu.ru/
Нижегородский государственный университет имени Н. И. Лобачевского,ННГУ им. Лобачевского,Нижегородская область,Гос.вуз,A,https://tabiturient.ru/logovuz/unn.png,http://www.unn.ru/
Нижегородский государственный агротехнологический университет,Нижегородский ГАТУ,Нижегородская область,Гос.вуз,C,https://tabiturient.ru/logovuz/nnsaa.png,https://nnsatu.ru/
Новогородский государственный университет,НовГУ,Новгородская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/novsu.png,https://www.novsu.ru/
Оренбургский государственный аграрный университет,ОГАУ,Оренбургская область,Гос.вуз,C,https://tabiturient.ru/logovuz/orensau.png,https://orensau.ru/
Оренбургский государственный педагогический университет,ОГПУ,Оренбургская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/ospu.png,https://ospu.ru/
Оренбургский государственный университет,ОГУ,Оренбургская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/osu.png,http://www.osu.ru/
Орловский государственный университет имени И. С. Тургенева,ОГУ им. И.С. Тургенева,Орловская область,Гос.вуз,B,https://tabiturient.ru/logovuz/oreluniver.png,http://oreluniver.ru/
Орловский государственный институт экономики и торговли,ОГУЭТ,Орловская область,Гос.вуз,C,https://tabiturient.ru/logovuz/orelgiet.png,https://orelgiet.ru/
Омский государственный аграрный университет имени П.А.Столыпина,ОмГАУ им. П.А.Столыпина,Омская область,Гос.вуз,C,https://tabiturient.ru/logovuz/omgau.png,https://www.omgau.ru/
Омский государственный медицинский университет,ОмГМУ,Омская область,Гос.вуз,A,https://tabiturient.ru/logovuz/osma.png,http://omsk-osma.ru/
Омский государственный педагогический университет,ОмГПУ,Омская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/omgpu.png,https://omgpu.ru/
Омский государственный технический университет,ОмГТУ,Омская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/omgtu.png,https://www.omgtu.ru
Омский государственный университет  им. Ф.М. Достоевского,ОмГУ им. Ф.М. Достоевского,Омская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/omsu.png,http://www.omsu.ru/
Омский государственный университет путей сообщения,ОмГУПС,Омская область,Гос.вуз,C,https://tabiturient.ru/logovuz/omgups.png,http://www.omgups.ru/
