direction,profile,program_code,vuz,faculty,exams,scores,forms
Пожарная безопасность,Без профиля,20.05.01,КемГУ,Институт инженерных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['174', 'очно'], ['122', 'заоч.']]","[{'education_form2': 'Очная', 'score': '174', 'free_places': '27', 'average_score': '205', 'olympic': 'no data', 'price': -170500}, {'education_form2': 'Заочная', 'score': '122', 'free_places': '20', 'average_score': '205', 'olympic': 'no data', 'price': -54600}]"
Медицинская биохимия,Без профиля,30.05.01,КемГУ,Медицинский институт,"[['РЯ'], ['Х'], ['Б', 'M']]","[['178', 'очно']]","[{'education_form2': 'Очная', 'score': '178', 'free_places': '14', 'average_score': '193', 'olympic': 'no data', 'price': -202320}]"
Лечебное дело,Без профиля,31.05.01,КемГУ,Медицинский институт,"[['РЯ'], ['Б'], ['Х']]","[['183', 'очно']]","[{'education_form2': 'Очная', 'score': '183', 'free_places': '25', 'average_score': '233', 'olympic': 'no data', 'price': -202320}]"
Стоматология,Без профиля,31.05.03,КемГУ,Медицинский институт,"[['РЯ'], ['Б'], ['Х']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -202320}]"
Ветеринария,Без профиля,36.05.01,КемГУ,"Институт биологии, экологии и природных ресурсов","[['РЯ'], ['Б'], ['M', 'Х']]","[['132', 'очно'], ['166', 'вечер.']]","[{'education_form2': 'Очная', 'score': '132', 'free_places': '17', 'average_score': '182', 'olympic': 'no data', 'price': -170500}, {'education_form2': 'Очно-заочная', 'score': '166', 'free_places': '11', 'average_score': '182', 'olympic': 'no data', 'price': -66200}]"
Клиническая психология,Без профиля,37.05.01,КемГУ,Социально-психологический институт,"[['РЯ'], ['Б'], ['ИЯ', 'О']]","[['180', 'очно']]","[{'education_form2': 'Очная', 'score': '180', 'free_places': '52', 'average_score': '209', 'olympic': '2%', 'price': -150800}]"
Экономическая безопасность,Без профиля,38.05.01,КемГУ,Институт экономики и управления,"[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -150800}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -66400}]"
Судебная и прокурорская деятельность,Судебная деятельность; Прокурорская деятельность,40.05.04,КемГУ,Юридический институт,"[['РЯ'], ['О'], ['И']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -150800}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -84200}]"
Перевод и переводоведение,Без профиля,45.05.01,КемГУ,"Институт филологии, иностранных языков и медиакоммуникаций","[['РЯ'], ['ИЯ'], ['И', 'О']]","[['200', 'очно']]","[{'education_form2': 'Очная', 'score': '200', 'free_places': '23', 'average_score': '227', 'olympic': 'no data', 'price': -150800}]"
Сестринское дело,Без профиля,34.03.01,Кировский ГМУ,Социально-экономический факультет,"[['РЯ'], ['Б'], ['Х']]",[],"[{'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -34900}]"
Менеджмент,Без профиля,38.03.02,Кировский ГМУ,Социально-экономический факультет,"[['РЯ'], ['M'], ['О']]",[],"[{'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -42600}]"
Товароведение,Без профиля,38.03.07,Кировский ГМУ,Социально-экономический факультет,"[['РЯ'], ['M'], ['О']]",[],"[{'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -41500}]"
Социальная работа,Без профиля,39.03.02,Кировский ГМУ,Социально-экономический факультет,"[['РЯ'], ['О'], ['И']]","[['178', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '178', 'free_places': '15', 'average_score': 'no data', 'olympic': 'no data', 'price': -38200}]"
Медицинская биохимия,Без профиля,30.05.01,Кировский ГМУ,Педиатрический факультет,"[['РЯ'], ['Б'], ['Х']]","[['173', 'очно']]","[{'education_form2': 'Очная', 'score': '173', 'free_places': '9', 'average_score': '213', 'olympic': 'no data', 'price': -177000}]"
Лечебное дело,Без профиля,31.05.01,Кировский ГМУ,Лечебный факультет,"[['РЯ'], ['Б'], ['Х']]","[['196', 'очно']]","[{'education_form2': 'Очная', 'score': '196', 'free_places': '250', 'average_score': '240', 'olympic': 'no data', 'price': -187000}]"
Педиатрия,Без профиля,31.05.02,Кировский ГМУ,Педиатрический факультет,"[['РЯ'], ['Б'], ['Х']]","[['145', 'очно']]","[{'education_form2': 'Очная', 'score': '145', 'free_places': '120', 'average_score': '194', 'olympic': 'no data', 'price': -178000}]"
Стоматология,Без профиля,31.05.03,Кировский ГМУ,Стоматологический факультет,"[['РЯ'], ['Б'], ['Х']]","[['285', 'очно']]","[{'education_form2': 'Очная', 'score': '285', 'free_places': '23', 'average_score': '288', 'olympic': 'no data', 'price': -220000}]"
Клиническая психология,Без профиля,37.05.01,Кировский ГМУ,Социально-экономический факультет,"[['РЯ'], ['Б'], ['M', 'О']]","[['236', 'очно']]","[{'education_form2': 'Очная', 'score': '236', 'free_places': '8', 'average_score': '262', 'olympic': 'no data', 'price': -118000}]"
Прикладная математика,Математическое и компьютерное моделирование,01.03.04,КнАГУ,Факультет компьютерных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['129', 'очно']]","[{'education_form2': 'Очная', 'score': '129', 'free_places': '12', 'average_score': '150', 'olympic': 'no data', 'price': -180350}]"
Дизайн архитектурной среды,Проектирование городской среды,07.03.03,КнАГУ,Факультет кадастра и строительства,"[['РЯ'], ['M'], ['ДЭ']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -203000}]"
Дизайн архитектурной среды,Проектирование архитектурной среды,07.03.03,КнАГУ,Факультет кадастра и строительства,"[['РЯ'], ['M'], ['ДЭ']]","[['101', 'очно']]","[{'education_form2': 'Очная', 'score': '101', 'free_places': '19', 'average_score': '126', 'olympic': 'no data', 'price': -203000}]"
Строительство,Производственно-технологическое обеспечение строительства,08.03.01,КнАГУ,Факультет кадастра и строительства,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -203000}]"
Строительство,Промышленное и гражданское строительство,08.03.01,КнАГУ,Факультет кадастра и строительства,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['164', 'очно']]","[{'education_form2': 'Очная', 'score': '164', 'free_places': '15', 'average_score': '183', 'olympic': 'no data', 'price': -203000}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '183', 'olympic': 'no data', 'price': -63000}]"
Информатика и вычислительная техника,Программное обеспечение средств вычислительной техники и автоматизированных систем,09.03.01,КнАГУ,Факультет компьютерных технологий,"[['РЯ'], ['M'], ['ИЯ', 'Ф']]","[['152', 'очно'], ['164', 'заоч.']]","[{'education_form2': 'Очная', 'score': '152', 'free_places': '16', 'average_score': '203', 'olympic': 'no data', 'price': -203000}, {'education_form2': 'Заочная', 'score': '164', 'free_places': '15', 'average_score': '203', 'olympic': 'no data', 'price': -52700}]"
Информационные системы и технологии,Проектирование и реализация информационных систем и технологий,09.03.02,КнАГУ,Факультет компьютерных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['152', 'очно']]","[{'education_form2': 'Очная', 'score': '152', 'free_places': '16', 'average_score': 'no data', 'olympic': 'no data', 'price': -203000}]"
Электроника и наноэлектроника,Разработка и эксплуатация радиоэлектронных систем,11.03.04,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['124', 'очно']]","[{'education_form2': 'Очная', 'score': '124', 'free_places': '20', 'average_score': '151', 'olympic': 'no data', 'price': -203000}]"
Электроника и наноэлектроника,Проектирование электронных устройств,11.03.04,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -203000}]"
Электроника и наноэлектроника,Промышленная электроника,11.03.04,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['124', 'очно'], ['142', 'заоч.']]","[{'education_form2': 'Очная', 'score': '124', 'free_places': '40', 'average_score': 'no data', 'olympic': 'no data', 'price': -203000}, {'education_form2': 'Заочная', 'score': '142', 'free_places': '25', 'average_score': 'no data', 'olympic': 'no data', 'price': -52700}]"
Теплоэнергетика и теплотехника,Тепловые электрические станции,13.03.01,КнАГУ,Факультет авиационной и морской техники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['130', 'очно'], ['183', 'заоч.']]","[{'education_form2': 'Очная', 'score': '130', 'free_places': '15', 'average_score': '166', 'olympic': 'no data', 'price': -203000}, {'education_form2': 'Заочная', 'score': '183', 'free_places': '10', 'average_score': '166', 'olympic': 'no data', 'price': -52700}]"
Электроэнергетика и электротехника,Электропривод и автоматизация,13.03.02,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -203000}]"
Электроэнергетика и электротехника,Электропривод и автоматика; Электрооборудование и электроснабжение предприятий,13.03.02,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['122', 'очно'], ['156', 'заоч.']]","[{'education_form2': 'Очная', 'score': '122', 'free_places': '30', 'average_score': '144', 'olympic': 'no data', 'price': -203000}, {'education_form2': 'Заочная', 'score': '156', 'free_places': '20', 'average_score': '144', 'olympic': 'no data', 'price': -52700}]"
Машиностроение,Технология машиностроения,15.03.01,КнАГУ,Факультет машиностроительных и химических технологий,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['137', 'очно'], ['217', 'заоч.']]","[{'education_form2': 'Очная', 'score': '137', 'free_places': '20', 'average_score': '174', 'olympic': 'no data', 'price': -203000}, {'education_form2': 'Заочная', 'score': '217', 'free_places': '10', 'average_score': '174', 'olympic': 'no data', 'price': -52700}]"
Машиностроение,Оборудование и технология сварочного производства,15.03.01,КнАГУ,Факультет машиностроительных и химических технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['137', 'очно'], ['176', 'заоч.']]","[{'education_form2': 'Очная', 'score': '137', 'free_places': '35', 'average_score': '174', 'olympic': 'no data', 'price': -203000}, {'education_form2': 'Заочная', 'score': '176', 'free_places': '10', 'average_score': '174', 'olympic': 'no data', 'price': -52700}]"
Мехатроника и робототехника,Робототехнические комплексы и системы,15.03.06,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['150', 'очно']]","[{'education_form2': 'Очная', 'score': '150', 'free_places': '15', 'average_score': '187', 'olympic': 'no data', 'price': -203000}]"
Химическая технология,Переработка полезных ископаемых,18.03.01,КнАГУ,Факультет машиностроительных и химических технологий,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['127', 'очно']]","[{'education_form2': 'Очная', 'score': '127', 'free_places': '15', 'average_score': '178', 'olympic': 'no data', 'price': -203000}]"
"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Оборудование нефтегазопереработки,18.03.02,КнАГУ,Факультет машиностроительных и химических технологий,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['127', 'очно']]","[{'education_form2': 'Очная', 'score': '127', 'free_places': '15', 'average_score': '178', 'olympic': 'no data', 'price': -203000}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '178', 'olympic': 'no data', 'price': -52700}]"
Техносферная безопасность,Безопасность жизнедеятельности в техносфере,20.03.01,КнАГУ,Факультет кадастра и строительства,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['136', 'очно']]","[{'education_form2': 'Очная', 'score': '136', 'free_places': '16', 'average_score': '177', 'olympic': 'no data', 'price': -203000}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '177', 'olympic': 'no data', 'price': -52700}]"
Землеустройство и кадастры,Геодезическое сопровождение землеустройства и кадастров,21.03.02,КнАГУ,Факультет кадастра и строительства,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]",[],"[{'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -52700}]"
Материаловедение и технологии материалов,Материаловедение в машиностроении,22.03.01,КнАГУ,Факультет машиностроительных и химических технологий,"[['РЯ'], ['M'], ['ИКТ', 'Х']]","[['128', 'очно']]","[{'education_form2': 'Очная', 'score': '128', 'free_places': '15', 'average_score': '149', 'olympic': 'no data', 'price': -190620}]"
Металлургия,Инновационные технологии металлургических процессов,22.03.02,КнАГУ,Факультет машиностроительных и химических технологий,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['128', 'очно']]","[{'education_form2': 'Очная', 'score': '128', 'free_places': '15', 'average_score': '149', 'olympic': 'no data', 'price': -203000}]"
Технология транспортных процессов,Организация перевозок и управление в единой транспортной системе,23.03.01,КнАГУ,Факультет авиационной и морской техники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['197', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '197', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -52700}]"
Авиастроение,Самолетостроение,24.03.04,КнАГУ,Факультет авиационной и морской техники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['130', 'очно']]","[{'education_form2': 'Очная', 'score': '130', 'free_places': '37', 'average_score': '160', 'olympic': 'no data', 'price': -238500}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '160', 'olympic': 'no data', 'price': -85300}]"
"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Кораблестроение,26.03.02,КнАГУ,Факультет авиационной и морской техники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['120', 'очно']]","[{'education_form2': 'Очная', 'score': '120', 'free_places': '31', 'average_score': '140', 'olympic': 'no data', 'price': -238500}]"
"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Судовые энергетические установки,26.03.02,КнАГУ,Факультет авиационной и морской техники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]",[],"[{'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -52700}]"
Управление в технических системах,Автоматизация и управление технологическими процессами,27.03.04,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['119', 'очно']]","[{'education_form2': 'Очная', 'score': '119', 'free_places': '15', 'average_score': '144', 'olympic': 'no data', 'price': -203000}]"
Экономика,Финансово-экономическая аналитика,38.03.01,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['M'], ['ИКТ', 'О']]","[['170', 'очно']]","[{'education_form2': 'Очная', 'score': '170', 'free_places': '15', 'average_score': '204', 'olympic': 'no data', 'price': -180350}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '204', 'olympic': 'no data', 'price': -63000}]"
Менеджмент,"Проектирование, организация и администрирование бизнеса",38.03.02,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -63000}]"
Государственное и муниципальное управление,Управление государственными проектами и программами,38.03.04,КнАГУ,Факультет энергетики и управления,"[['РЯ'], ['О'], ['ИЯ', 'И']]","[['166', 'очно']]","[{'education_form2': 'Очная', 'score': '166', 'free_places': '15', 'average_score': '205', 'olympic': 'no data', 'price': -180350}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '205', 'olympic': 'no data', 'price': -63000}]"
Социальная работа,Технология социальной работы,39.03.02,КнАГУ,Социально-гуманитарный факультет,"[['РЯ'], ['И'], ['ИЯ', 'О']]","[['204', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '204', 'free_places': '5', 'average_score': 'no data', 'olympic': 'no data', 'price': -46500}]"
Юриспруденция,Государственно-правовой профиль,40.03.01,КнАГУ,Социально-гуманитарный факультет,"[['РЯ'], ['О'], ['ИКТ', 'И']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -180350}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -63000}]"
Реклама и связи с общественностью,Реклама и связи с общественностью в медиаиндустрии,42.03.01,КнАГУ,Социально-гуманитарный факультет,"[['РЯ'], ['О'], ['ИЯ', 'И']]","[['143', 'очно']]","[{'education_form2': 'Очная', 'score': '143', 'free_places': '17', 'average_score': '171', 'olympic': 'no data', 'price': -180350}]"
Лингвистика,Специальный перевод,45.03.02,КнАГУ,Социально-гуманитарный факультет,"[['РЯ'], ['ИЯ'], ['И', 'О']]","[['125', 'очно']]","[{'education_form2': 'Очная', 'score': '125', 'free_places': '20', 'average_score': '192', 'olympic': 'no data', 'price': -180350}]"
Документоведение и архивоведение,Документационное обеспечение управления организацией,46.03.02,КнАГУ,Социально-гуманитарный факультет,"[['РЯ'], ['И'], ['ИКТ', 'О']]",[],"[{'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -46500}]"
Информационная безопасность автоматизированных систем,Анализ безопасности информационных систем,10.05.03,КнАГУ,Факультет компьютерных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['145', 'очно']]","[{'education_form2': 'Очная', 'score': '145', 'free_places': '20', 'average_score': '180', 'olympic': 'no data', 'price': -203000}]"
Самолето- и вертолетостроение,Технологическое проектирование высокоресурсных конструкций самолетов и вертолетов,24.05.07,КнАГУ,Факультет авиационной и морской техники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['149', 'очно']]","[{'education_form2': 'Очная', 'score': '149', 'free_places': '20', 'average_score': '187', 'olympic': 'no data', 'price': -238500}]"
Самолето- и вертолетостроение,Самолетостроение,24.05.07,КнАГУ,Факультет авиационной и морской техники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['149', 'очно']]","[{'education_form2': 'Очная', 'score': '149', 'free_places': '20', 'average_score': '187', 'olympic': 'no data', 'price': -238500}]"
Информатика и вычислительная техника,Анализ данных и машинное обучение,09.03.01,Княгининский университет,Институт информационных технологий и систем связи,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['114', 'очно']]","[{'education_form2': 'Очная', 'score': '114', 'free_places': '12', 'average_score': '158', 'olympic': 'no data', 'price': -136000}]"
Информационные системы и технологии,Без профиля,09.03.02,Княгининский университет,Институт информационных технологий и систем связи,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['168', 'очно']]","[{'education_form2': 'Очная', 'score': '168', 'free_places': '13', 'average_score': '180', 'olympic': 'no data', 'price': -136000}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '180', 'olympic': 'no data', 'price': -44000}]"
Информационные системы и технологии,Компьютерный дизайн и геймификация,09.03.02,Княгининский университет,Институт информационных технологий и систем связи,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['169', 'очно']]","[{'education_form2': 'Очная', 'score': '169', 'free_places': '13', 'average_score': '200', 'olympic': 'no data', 'price': -136000}]"
Информационные системы и технологии,Разработка мобильных приложений,09.03.02,Княгининский университет,Институт информационных технологий и систем связи,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['145', 'очно']]","[{'education_form2': 'Очная', 'score': '145', 'free_places': '12', 'average_score': '160', 'olympic': 'no data', 'price': -136000}]"
Информационные системы и технологии,Интернет вещей,09.03.02,Княгининский университет,Институт информационных технологий и систем связи,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['107', 'очно']]","[{'education_form2': 'Очная', 'score': '107', 'free_places': '12', 'average_score': '151', 'olympic': 'no data', 'price': -136000}]"
Инфокоммуникационные технологии и системы связи,Сети связи и системы коммутации,11.03.02,Княгининский университет,Институт информационных технологий и систем связи,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['106', 'очно']]","[{'education_form2': 'Очная', 'score': '106', 'free_places': '12', 'average_score': '153', 'olympic': 'no data', 'price': -136000}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '153', 'olympic': 'no data', 'price': -44000}]"
Электроэнергетика и электротехника,Электроснабжение,13.03.02,Княгининский университет,Инженерный институт,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['108', 'очно']]","[{'education_form2': 'Очная', 'score': '108', 'free_places': '12', 'average_score': '150', 'olympic': 'no data', 'price': -114300}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '150', 'olympic': 'no data', 'price': -44000}]"
Техносферная безопасность,Безопасность труда,20.03.01,Княгининский университет,Инженерный институт,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['128', 'очно']]","[{'education_form2': 'Очная', 'score': '128', 'free_places': '13', 'average_score': '143', 'olympic': 'no data', 'price': -114300}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '143', 'olympic': 'no data', 'price': -44000}]"
Технология транспортных процессов,Организация и безопасность движения,23.03.01,Княгининский университет,"Институт транспорта, сервиса и туризма (г. Воротынец)","[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['99', 'заоч.']]","[{'education_form2': 'Заочная', 'score': '99', 'free_places': '13', 'average_score': 'no data', 'olympic': 'no data', 'price': -44000}]"
Эксплуатация транспортно-технологических машин и комплексов,Без профиля,23.03.03,Княгининский университет,"Институт транспорта, сервиса и туризма (г. Воротынец)","[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['113', 'очно'], ['114', 'заоч.']]","[{'education_form2': 'Очная', 'score': '113', 'free_places': '25', 'average_score': '144', 'olympic': 'no data', 'price': -114300}, {'education_form2': 'Заочная', 'score': '114', 'free_places': '13', 'average_score': '144', 'olympic': 'no data', 'price': -44000}]"
Агроинженерия,Инновационные технологии в агроиндустрии,35.03.06,Княгининский университет,Инженерный институт,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['111', 'очно']]","[{'education_form2': 'Очная', 'score': '111', 'free_places': '12', 'average_score': '130', 'olympic': 'no data', 'price': -114300}]"
Экономика,"Бухгалтерский учет, анализ и аудит",38.03.01,Княгининский университет,Институт экономики и управления,"[['РЯ'], ['M'], ['И', 'О']]","[['149', 'очно']]","[{'education_form2': 'Очная', 'score': '149', 'free_places': '25', 'average_score': '191', 'olympic': 'no data', 'price': -99100}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '191', 'olympic': 'no data', 'price': -53000}]"
Менеджмент,Организационный менеджмент,38.03.02,Княгининский университет,Институт экономики и управления,"[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -99100}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -53000}]"
Бизнес-информатика,Электронный бизнес,38.03.05,Княгининский университет,Институт экономики и управления,"[['РЯ'], ['M'], ['Г', 'О']]","[['122', 'очно']]","[{'education_form2': 'Очная', 'score': '122', 'free_places': '25', 'average_score': '180', 'olympic': 'no data', 'price': -99100}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '180', 'olympic': 'no data', 'price': -53000}]"
Сервис,Цифровой социальный сервис,43.03.01,Княгининский университет,Институт экономики и управления,"[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -44000}]"
Сервис,Социально-культурный сервис,43.03.01,Княгининский университет,"Институт транспорта, сервиса и туризма (г. Воротынец)","[['РЯ'], ['M'], ['И', 'О']]","[['123', 'очно']]","[{'education_form2': 'Очная', 'score': '123', 'free_places': '25', 'average_score': '153', 'olympic': 'no data', 'price': -99100}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '153', 'olympic': 'no data', 'price': -44000}]"
Сервис,Управление цифровым транспортно-логистическим сервисом,43.03.01,Княгининский университет,Инженерный институт,"[['РЯ'], ['M'], ['И', 'О']]","[['123', 'очно']]","[{'education_form2': 'Очная', 'score': '123', 'free_places': '13', 'average_score': '125', 'olympic': 'no data', 'price': -99100}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '125', 'olympic': 'no data', 'price': -44000}]"
Туризм,Без профиля,43.03.02,Княгининский университет,"Институт транспорта, сервиса и туризма (г. Воротынец)","[['РЯ'], ['О'], ['Г', 'И']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -99100}]"
Педагогическое образование,Социальная педагогика,44.03.01,Княгининский университет,Институт педагогики и дополнительного образования,"[['РЯ'], ['О'], ['И', 'M']]","[['128', 'очно']]","[{'education_form2': 'Очная', 'score': '128', 'free_places': '12', 'average_score': '160', 'olympic': 'no data', 'price': -99100}]"
Экономическая безопасность,Обеспечение экономической и цифровой безопасности хозяйствующих субъектов,38.05.01,Княгининский университет,Институт экономики и управления,"[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -53500}]"
Архитектура,Архитектурное проектирование,07.03.01,Костромская ГСХА,Архитектурно-строительный факультет,"[['РЯ'], ['M'], ['ДЭ']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -133846}]"
Строительство,Промышленное и гражданское строительство,08.03.01,Костромская ГСХА,Архитектурно-строительный факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['134', 'очно']]","[{'education_form2': 'Очная', 'score': '134', 'free_places': '35', 'average_score': '168', 'olympic': 'no data', 'price': -133846}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '168', 'olympic': 'no data', 'price': -51720}]"
Электроэнергетика и электротехника,Электроснабжение,13.03.02,Костромская ГСХА,Электроэнергетический факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['123', 'очно']]","[{'education_form2': 'Очная', 'score': '123', 'free_places': '30', 'average_score': '167', 'olympic': 'no data', 'price': -133846}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '167', 'olympic': 'no data', 'price': -39480}]"
